SN,t_exp,A_r,A_g,alpha_r,alpha_g,B_r,B_g,dt_exp,dA_r,dA_g,dalpha_r,dalpha_g,dB_r,dB_g
ZTF18aailmnv,2458306.9451236245,6.564033789548444,0.6689460903104975,1.733931574414088,2.9969547375907974,-7.431099598519355,1.1372134153308204,8.366015304321053,38.22286570937473,6.317205738722379,1.917494031803108,3.0313639141070245,3.7680235863873137,3.4272769355218546
ZTF18aaoxryq,2458323.7534021665,7.0080704627487975,4.182050521729539,1.7832328308100067,2.0692424580950397,6.087971409332691,8.638407589327544,2.472955326097775,15.821175784801108,9.97521594550377,0.8394301889856484,0.8592717527930788,3.304953901715349,2.9632132318971744
ZTF18aapqwyv,2458228.8120950013,47.560356213349976,15.379212489825921,1.1237605665050547,1.6899357195387825,25.919005224198784,14.87611579431745,1.36058041849578,63.27445127982993,25.879402441028663,0.7390327575096011,0.8507802417659825,6.414206733435142,10.619437665188316
ZTF18aapsedq,2458226.920094559,0.997839350849491,2.799237126904774,2.886379581599066,2.32564809050155,-2.0074132632133144,3.8478828665850653,1.6563270724833596,2.959764168029196,4.498256269715235,1.3450407263083415,0.5390820607977578,2.66816232994601,9.184243255954701
ZTF18aaqcozd,2458233.956328392,0.5151819556294548,1.824813647757923,2.9853767830591447,2.4853227955650685,-1.0028712018390091,8.752786557607267,4.248301305521202,2.3228025362231244,7.305165770632824,1.4348314675576692,1.2988346970867397,3.6947924042973996,7.736598406678085
ZTF18aaqcqvr,2458239.571289814,46.727977731919964,64.2469304599326,1.3753081965025205,1.3158402076164022,13.02740562410298,-7.148632270851239,0.9216177970575714,31.71430897149748,41.76493862143593,0.25924256412313046,0.24890823593399747,3.363794944651465,5.558571014453722
ZTF18aaqcugm,,,,,,,,,,,,,,
ZTF18aaqffyp,2458233.35421094,5.252199230118248,6.520235561953089,2.0313264673953255,2.039493945426321,1.0424194199163452,1.5931908593774795,1.5416282746766061,7.550117540794446,10.519795353347511,0.5318004168883714,0.5665429173822812,2.5681127291983263,3.6569909878093885
ZTF18aaqnrum,2458233.626852036,0.7954422360715336,1.6083266762028479,2.6917506509905373,2.402673563573987,-3.7169314819903905,-5.594335630952824,8.027599005961065,5.584298444583858,16.9651600466427,2.154508795226124,3.6641792383060436,4.35415918902849,5.233346068418561
ZTF18aaqqoqs,2458242.253042771,32.60956757633447,38.957222809369476,1.2935645592977023,1.2722136328455034,-8.125069327648207,7.372530546204708,0.33140106689910503,11.066555468820138,11.468940360914758,0.15639210875261608,0.12907217203631607,3.564234468427933,4.803246764636702
ZTF18aasdted,2458245.9951049676,122.49140506786884,126.08010182249686,1.848440666460914,1.8478660842531682,12.513254348606575,-14.709873152312484,0.06368806116730741,9.424572370064809,8.449862702236558,0.030395332739424758,0.025637229336260895,4.830341430859608,5.751496450121411
ZTF18aasesgl,2458234.7715394637,0.06719705418030407,0.14792657103524304,2.8354694748775797,2.784031980584179,-40.93784558450429,16.41441144060314,13.524297715089194,0.8337049529729721,1.748464536213169,3.7470778907951243,3.486619475453819,7.872296492195713,5.111042897805922
ZTF18aaslhxt,2458242.9267452215,2.2903033338160697,2.1782798831985275,2.6040334718420306,2.717552231552694,4.854211552331566,13.26964029164157,1.0984653481085436,2.8930753884961633,2.7803634888768514,0.4279775284796206,0.42627312049435795,5.920497007676396,3.8552624773921225
ZTF18aatzygk,2458244.022219798,2.7050470714613977,1.039644205423195,2.362822937375763,2.9094974173896584,11.709627727416683,13.503999541188902,3.944193377911229,12.453929743613779,5.477670310983447,1.6337143447568845,1.8257554602757355,5.0555238743479425,5.422622098347167
ZTF18aauhxce,2458249.133328354,19.24534082517904,26.083963412296995,1.356001855441273,1.2730252993978834,-3.175647682551736,5.062916945750545,0.7403085788310177,8.255829976163593,16.68010604458758,0.149738802114297,0.25613993915810884,3.623817555696111,3.8714787338619847
ZTF18aaumeys,,,,,,,,,,,,,,
ZTF18aaumlfl,2458249.871053643,22.432317605783638,32.47828832126703,1.5049388548994171,1.3853830876489694,5.76712192028195,13.310216197004975,3.330065434165387,66.72857716710338,85.43101657412612,1.2072061780760301,1.052878878588668,4.3545524751345654,3.321311336002886
ZTF18aaunfqq,,,,,,,,,,,,,,
ZTF18aavrwhu,2458256.4292537062,91.54821544876424,81.04080447975296,1.0009230606595558,1.1239119058888098,-5.332355475496916,4.350628701109501,0.3771705616347807,28.844473543357836,23.90869531319612,0.1596602239630033,0.13876699115532207,5.280790270530449,3.5756443341193123
ZTF18aavrzxp,2458253.391177987,16.14292475387942,4.326412015284206,1.64563340912316,2.4131022927312284,0.20306377054250238,25.741585297941675,4.169932323737431,69.20841385075025,29.01064143067562,1.8108550564766723,2.889787450871511,1.916864225371471,3.457145802556326
ZTF18aawjywv,2458254.9754371266,74.07440137974618,6.529196950028563,1.0000000000266271,2.912412063302194,19.526471501333955,27.238239741922854,1.2002837792778653,75.41184147314091,14.706185239488912,0.5558557367706315,1.0832791042174195,8.935581269249532,4.410514066936287
