,z,t0,x0,x1,c,MWebv,MWr_v,t0_err,x0_err,x1_err,c_err,ra,dec
ZTF18acsyzca,0.014102810022991906,2458469.4085186217,0.012833989731316968,-1.7323804733200028,0.08613410254254299,0.038082821543018,3.1,0.2554281000047922,0.0007062108887077379,0.1419154673069475,0.04526431261670742,51.5089228,-17.5629234
ZTF18aaripcr,0.03414708,2458263.101806034,0.0047883222167934775,1.0022164939173213,-0.08697211593858678,0.03551441787513521,3.1,0.10275881155394018,0.00015358532966795908,0.09222755646882705,0.028805034116263777,222.4095477,25.3701408
ZTF18abdfaqi,0.04827984,2458310.414102284,0.0021130505846381448,0.3925878693491796,-0.05463219303191967,0.03612281946704936,3.1,0.1047579834703356,6.630623855014459e-05,0.1129056435916998,0.02984645177431656,223.4930254,26.0019701
ZTF18aahptcq,0.06349391,2458221.2701938986,0.0007407336946236431,0.7371665624717263,0.21248488262816553,0.03702043264368924,3.1,0.2738750565331429,4.97163400299664e-05,0.20873603186856104,0.053431442977405985,162.3180861,26.3730939
ZTF18aahsmrw,0.07839277,2458234.3530231747,0.0003926528163525725,-0.9016726741773271,0.19639261579936307,0.02694508165404544,3.1,0.30966057581827044,1.5274576894282995e-05,0.19325898396552493,0.04053077515876858,181.9523387,22.5972101
ZTF18aavnxar,0.08503866,2458268.793763451,0.00046879396958868913,0.2634234082875888,0.012152583248156957,0.007375585304400955,3.1,0.16608961718156934,1.379899390478516e-05,0.15668258654411524,0.030645669900579264,194.3442515,26.8148766
ZTF18aczesom,0.067313,2458458.703143827,0.0008768775113122446,-1.0227732592235015,-0.11503943952615503,0.02664289495875154,3.1,0.8280135029926896,7.43250306009587e-05,0.3082254809387409,0.049479589428722964,172.6794186,-6.1270698
ZTF18aaiwkwk,0.08583829,2458234.6155919144,0.0007170917205540502,0.5645102641720826,0.0006843637761014094,0.024736869187646254,3.1,0.05579712218604982,2.0751650759306002e-05,0.053979832349827776,0.028369010369088964,239.1929009,35.0246468
ZTF18acusueb,0.02242037,2458457.935765485,0.004176040029259073,-1.5819957594614826,0.28574747315445775,0.03181485566307912,3.1,0.41029528179205954,0.00048659189194951146,0.2734011149391481,0.08862473844922178,230.3702403,15.1390527
ZTF18acwyowc,0.07461534,2458482.4706651256,0.0010455907330948874,-0.3347134667870731,-0.16856076203072662,0.011437400474837454,3.1,0.15589480544440448,3.839247834579393e-05,0.18511434848469574,0.03485117421809144,206.9527677,35.0587873
ZTF18abmwzpt,0.1225675,2458353.6006279085,0.00018559155407392734,0.19324562628020542,0.10858523293366855,0.02282036949858942,3.1,0.32826721807941794,8.78622646926155e-06,0.4124383755592738,0.04320388009015518,253.8242093,32.8655327
