ID zcmb vpec
ZTF18aaadqua 0.068982 0
ZTF18aaaoaeq 0.107277 0
ZTF18aabasml 0.048125 -316.80
ZTF18aabdgik 0.022802 -54.33
ZTF18aabqgnb 0.035894 -316.03
ZTF18aabssme 0.042858 -85.77
ZTF18aabstmw 0.023942 51.45
ZTF18aabsyqp 0.077830 0
ZTF18aabtaor 0.080662 0
ZTF18aabtiph 0.036914 -529.96
ZTF18aabtwqb 0.074465 0
ZTF18aabxrjp 0.080231 0
ZTF18aabyhlc 0.029440 171.95
ZTF18aaccuih 0.032080 -259.22
ZTF18aaemivw 0.068962 0
ZTF18aagrebu 0.055070 0
ZTF18aagrgao 0.114057 0
ZTF18aagrtxs 0.030275 14.13
ZTF18aagstdc 0.030224 158.88
ZTF18aagtcxj 0.032407 -305.85
ZTF18aagtdce 0.032455 -305.87
ZTF18aaguhgb 0.124770 0
ZTF18aahesrp 0.050811 0
ZTF18aahfeiy 0.072056 0
ZTF18aahfgsk 0.054749 0
ZTF18aahfgyz 0.013069 -30.20
ZTF18aahfxnn 0.081270 0
ZTF18aahfzea 0.025452 -131.80
ZTF18aahheaj 0.053750 0
ZTF18aahhenr 0.077222 0
ZTF18aahjafd 0.036781 -382.70
ZTF18aahjaxz 0.047237 -114.14
ZTF18aahpaoa 0.102178 0
ZTF18aahptcq 0.064590 0
ZTF18aahpzhc 0.038953 -162.50
ZTF18aahqavd 0.120841 0
ZTF18aahqmsr 0.085974 0
ZTF18aahrdpu 0.110842 0
ZTF18aahsmrw 0.079519 0
ZTF18aaiajvb 0.100180 0
ZTF18aaialps 0.139966 0
ZTF18aaibibr 0.061840 0
ZTF18aaigbvt 0.111241 0
ZTF18aaiiigm 0.078743 0
ZTF18aailmnv 0.080342 0
ZTF18aailvrv 0.062748 0
ZTF18aaimxdx 0.039761 -98.79
ZTF18aairuad 0.065121 0
ZTF18aaiwkwk 0.086095 0
ZTF18aajhdsz 0.067958 0
ZTF18aajnrgu 0.131069 0
ZTF18aajnyyp 0.085449 0
ZTF18aajpjdi 0.075537 0
ZTF18aajsbbq 0.069892 0
ZTF18aajwdwz 0.097991 0
ZTF18aakaljn 0.070955 0
ZTF18aakcsqt 0.085149 0
ZTF18aakdyym 0.113346 0
ZTF18aakecej 0.066948 0
ZTF18aaklpdo 0.047082 -125.87
ZTF18aakoylt 0.088337 0
ZTF18aakzliv 0.089867 0
ZTF18aalcxig 0.073686 0
ZTF18aamigmk 0.016723 -114.98
ZTF18aamlqqh 0.059740 0
ZTF18aamsgjq 0.060461 0
ZTF18aansqun 0.059647 0
ZTF18aaobguk 0.130723 0
