SN,Np,ra,dec,Name,Subtype,u_Subtype,z,n_z,E_B-V_,tgmax,e_tgmax,Delm15g,e_Delm15g,LC,Simbad,NED,recno
ZTF18aailmnv,840,214.2020797,58.4854086,SN2018ebo,normal   , ,0.08,f,0.0083,58326.57,0.1,0.77,0.05,LC,Simbad,NED,1
ZTF18aansqun,780,251.2920505,42.7178671,SN2018dyp,normal   , ,0.0597,h,0.0127,58313.56,0.18,0.99,0.08,LC,Simbad,NED,2
ZTF18aaoxryq,634,248.8438805,22.4684347,SN2018ert,normal   ,*,0.094,h,0.0455,58341.43,0.07,0.83,0.06,LC,Simbad,NED,3
ZTF18aapqwyv,515,251.6054101,25.4214872,SN2018bhc,normal   ,*,0.056,h,0.039,58243.79,0.18,0.99,0.04,LC,Simbad,NED,4
ZTF18aapsedq,626,215.3960102,49.5472065,SN2018bgs,normal   ,*,0.072,h,0.0188,58246.91,0.03,0.82,0.03,LC,Simbad,NED,5
ZTF18aaqcozd,313,190.563055,42.2717146,SN2018bjc,normal   , ,0.0732,h,0.0203,58253.02,0.06,0.96,0.01,LC,Simbad,NED,6
ZTF18aaqcqkv,328,196.5102607,48.2773525,SN2018lpc,normal   , ,0.1174,h,0.0086,58246.74,0.14,0.97,0.06,LC,Simbad,NED,7
ZTF18aaqcqvr,339,193.852761,45.5783931,SN2018bvg,normal   , ,0.0716,h,0.0284,58255.83,0.09,0.79,0.03,LC,Simbad,NED,8
ZTF18aaqcugm,312,202.0530199,53.9160331,SN2018bhi,normal   , ,0.0619,h,0.008,58254.63,0.04,0.95,0.02,LC,Simbad,NED,9
ZTF18aaqffyp,952,231.9450112,34.9482174,SN2018bhr,normal   , ,0.07,f,0.0188,58253.53,0.04,0.71,0.02,LC,Simbad,NED,10
ZTF18aaqnrum,553,248.5657089,26.8896357,SN2018bhs,normal   , ,0.066,f,0.066,58254.85,0.06,0.8,0.03,LC,Simbad,NED,11
ZTF18aaqqoqs,376,207.9703694,47.2569926,SN2018cbh,99aa-like, ,0.082,f,0.0137,58261.21,0.03,0.68,0.03,LC,Simbad,NED,12
ZTF18aarldnh,216,195.6554127,55.9257118,SN2018lpd,normal   , ,0.1077,h,0.0124,58256.67,0.23,0.92,0.07,LC,Simbad,NED,13
ZTF18aarqnje,715,251.3533408,35.9560194,SN2018bvd,normal   , ,0.117,f,0.0201,58259.19,0.05,0.8,0.04,LC,Simbad,NED,14
ZTF18aasdted,736,261.4131491,59.4467749,SN2018big,normal   , ,0.0182,h,0.0257,58264.93,0.02,0.7,0.01,LC,Simbad,NED,15
ZTF18aasesgl,365,208.6126361,39.7227567,SN2018lpw,normal   , ,0.0859,h,0.0115,58257.63,0.09,0.86,0.07,LC,Simbad,NED,16
ZTF18aaslhxt,1807,276.1079418,44.1303976,SN2018btk,normal   , ,0.055,h,0.048,58263.08,0.0,0.78,0.0,LC,Simbad,NED,17
ZTF18aatzygk,661,251.3842075,59.9186171,SN2018bsu,normal   , ,0.077,f,0.0335,58262.43,0.04,0.8,0.03,LC,Simbad,NED,18
ZTF18aauhxce,535,177.5687254,51.4534264,SN2018cec,normal   ,*,0.0831,h,0.0167,58269.74,0.05,0.66,0.04,LC,Simbad,NED,19
ZTF18aaumeys,363,214.3129358,59.2763734,SN2018bpd,99aa-like, ,0.0365,h,0.0082,58266.68,0.04,0.73,0.02,LC,Simbad,NED,20
ZTF18aaumlfl,735,244.2707135,50.7924589,SN2018btg,normal   , ,0.0874,h,0.02,58265.16,0.11,0.95,0.04,LC,Simbad,NED,21
ZTF18aaunfqq,613,238.5799814,39.4539556,SN2018lpb,normal   ,*,0.0711,h,0.0086,58267.08,0.0,0.95,0.01,LC,Simbad,NED,22
ZTF18aauocnw,753,271.1651445,41.549485,SN2018cae,normal   , ,0.102,f,0.0315,58268.84,0.17,0.79,0.04,LC,Simbad,NED,23
ZTF18aavrwhu,378,206.7352136,43.1372885,SN2018bxo,normal   , ,0.062,h,0.0106,58274.99,0.1,0.68,0.03,LC,Simbad,NED,24
ZTF18aavrzxp,660,215.4493577,48.166605,SN2018cdu,normal   , ,0.069,f,0.0232,58270.0,0.25,0.98,0.04,LC,Simbad,NED,25
ZTF18aawjywv,782,268.7502341,42.8983364,SN2018ccj,normal   ,*,0.0509,h,0.0228,58270.78,0.24,0.98,0.05,LC,Simbad,NED,26
ZTF18aawpcel,206,195.3210357,59.8100342,SN2018cir,SC       ,*,0.151,f,0.0108,58279.48,1.43,0.53,0.09,LC,Simbad,NED,27
ZTF18aawurud,1012,280.730097,50.659344,SN2018eaz,normal   , ,0.0531,h,0.0481,58326.25,0.27,0.76,0.07,LC,Simbad,NED,28
ZTF18aaxakhh,1876,278.5608703,32.919328,SN2018cvb,91T-like ,*,0.117,f,0.0586,58266.65,0.09,0.76,0.03,LC,Simbad,NED,29
ZTF18aaxcntm,699,247.0463868,39.820112,SN2018ccl,normal   , ,0.0269,h,0.0081,58279.02,0.01,0.97,0.01,LC,Simbad,NED,30
ZTF18aaxdrjn,646,185.0068641,56.1588698,SN2018cdt,normal   , ,0.034,h,0.0179,58279.05,0.02,1.05,0.03,LC,Simbad,NED,31
ZTF18aaxqyki,696,232.5761592,57.6584886,SN2018cnz,normal   , ,0.1003,h,0.0155,58285.16,0.07,0.71,0.02,LC,Simbad,NED,32
ZTF18aaxrvzj,632,241.7398043,59.015235,SN2018lpe,normal   , ,0.114,f,0.0113,58284.0,0.09,0.66,0.03,LC,Simbad,NED,33
ZTF18aaxsioa,799,252.4129468,45.4922889,SN2018cfa,normal   ,*,0.0315,h,0.0171,58285.95,0.01,0.98,0.01,LC,Simbad,NED,34
